title,price_gbp,rating,in_stock,competitor,source_url,scraped_at,price_usd,price_eur
Scott Pilgrim's Precious,17.36,3.7,True,Competitora,https://books.toscrape.com/catalogue/scott-pilgrim's-precious_1/index.html,2026-08-24 14:20:00.267008+00:00,22.05,20.48
Atomic Habits,43.68,2.1,True,Competitora,https://books.toscrape.com/catalogue/atomic-habits_1/index.html,2026-08-24 14:58:36.267008+00:00,55.47,51.54
Tipping the Velvet,10.74,1.8,True,Competitorb,https://books.toscrape.com/catalogue/tipping-the-velvet_1/index.html,2026-08-24 15:18:33.267008+00:00,13.64,12.67
Tipping the Velvet,31.06,1.8,True,Competitorc,https://books.toscrape.com/catalogue/tipping-the-velvet_1/index.html,2026-08-24 15:22:38.267008+00:00,39.45,36.65
Good to Great,40.63,5.0,True,Competitorb,https://books.toscrape.com/catalogue/good-to-great_1/index.html,2026-08-24 14:38:15.267008+00:00,51.6,47.94
Zero to One,38.82,1.9,True,Competitora,https://books.toscrape.com/catalogue/zero-to-one_1/index.html,2026-08-24 16:09:33.267008+00:00,49.3,45.81
It's Only the Himalayas,9.65,2.1,True,Competitorc,https://books.toscrape.com/catalogue/it's-only-the-himalayas_1/index.html,2026-08-24 14:29:43.267008+00:00,12.26,11.39
Worlds Elsewhere,52.15,2.1,True,Competitorb,https://books.toscrape.com/catalogue/worlds-elsewhere_1/index.html,2026-08-24 15:53:08.267008+00:00,66.23,61.54
The Requiem Red,45.78,3.4,True,Competitorb,https://books.toscrape.com/catalogue/the-requiem-red_1/index.html,2026-08-24 14:51:57.267008+00:00,58.14,54.02
Birdsong,24.25,2.6,True,Competitorc,https://books.toscrape.com/catalogue/birdsong_1/index.html,2026-08-24 15:14:15.267008+00:00,30.8,28.62
Black Dust,57.28,3.6,True,Competitorc,https://books.toscrape.com/catalogue/black-dust_1/index.html,2026-08-24 15:27:03.267008+00:00,72.75,67.59
Birdsong,26.63,2.6,True,Competitora,https://books.toscrape.com/catalogue/birdsong_1/index.html,2026-08-24 15:22:09.267008+00:00,33.82,31.42
Deep Work,31.45,3.3,True,Competitora,https://books.toscrape.com/catalogue/deep-work_1/index.html,2026-08-24 14:58:53.267008+00:00,39.94,37.11
Worlds Elsewhere,48.89,2.1,True,Competitorc,https://books.toscrape.com/catalogue/worlds-elsewhere_1/index.html,2026-08-24 15:19:52.267008+00:00,62.09,57.69
Stillness is the Key,16.29,5.0,False,Competitora,https://books.toscrape.com/catalogue/stillness-is-the-key_1/index.html,2026-08-24 16:02:13.267008+00:00,20.69,19.22
The Lean Startup,26.78,2.6,True,Competitorc,https://books.toscrape.com/catalogue/the-lean-startup_1/index.html,2026-08-24 15:29:26.267008+00:00,34.01,31.6
Deep Work,30.54,3.3,False,Competitorc,https://books.toscrape.com/catalogue/deep-work_1/index.html,2026-08-24 16:03:56.267008+00:00,38.79,36.04
The Boys in the Boat,25.24,1.7,False,Competitora,https://books.toscrape.com/catalogue/the-boys-in-the-boat_1/index.html,2026-08-24 15:20:36.267008+00:00,32.05,29.78
Atomic Habits,41.65,2.1,True,Competitorb,https://books.toscrape.com/catalogue/atomic-habits_1/index.html,2026-08-24 15:13:04.267008+00:00,52.9,49.15
Shoe Dog,37.62,1.2,True,Competitorc,https://books.toscrape.com/catalogue/shoe-dog_1/index.html,2026-08-24 15:42:23.267008+00:00,47.78,44.39
Our Band Could Be Your Life,37.04,4.1,True,Competitorc,https://books.toscrape.com/catalogue/our-band-could-be-your-life_1/index.html,2026-08-24 15:56:33.267008+00:00,47.04,43.71
Zero to One,37.97,1.9,True,Competitorb,https://books.toscrape.com/catalogue/zero-to-one_1/index.html,2026-08-24 15:22:01.267008+00:00,48.22,44.8
Zero to One,34.78,1.9,True,Competitorc,https://books.toscrape.com/catalogue/zero-to-one_1/index.html,2026-08-24 14:59:43.267008+00:00,44.17,41.04
The Coming Woman,12.83,3.9,True,Competitora,https://books.toscrape.com/catalogue/the-coming-woman_1/index.html,2026-08-24 16:07:07.267008+00:00,16.29,15.14
How Music Works,45.84,4.8,True,Competitora,https://books.toscrape.com/catalogue/how-music-works_1/index.html,2026-08-24 14:17:43.267008+00:00,58.22,54.09
Good to Great,47.93,5.0,True,Competitora,https://books.toscrape.com/catalogue/good-to-great_1/index.html,2026-08-24 15:27:56.267008+00:00,60.87,56.56
The Four Agreements,41.47,3.2,True,Competitorb,https://books.toscrape.com/catalogue/the-four-agreements_1/index.html,2026-08-24 15:12:21.267008+00:00,52.67,48.93
America's Cradle of Quarterbacks,13.34,4.7,True,Competitorc,https://books.toscrape.com/catalogue/america's-cradle-of-quarterbacks_1/index.html,2026-08-24 15:59:51.267008+00:00,16.94,15.74
Wall and Piece,34.78,2.0,True,Competitorb,https://books.toscrape.com/catalogue/wall-and-piece_1/index.html,2026-08-24 14:34:36.267008+00:00,44.17,41.04
Sapiens,47.13,3.6,True,Competitorc,https://books.toscrape.com/catalogue/sapiens_1/index.html,2026-08-24 15:55:31.267008+00:00,59.86,55.61
Sapiens,41.21,3.6,True,Competitorb,https://books.toscrape.com/catalogue/sapiens_1/index.html,2026-08-24 15:00:55.267008+00:00,52.34,48.63
Shakespeare's Sonnets,37.6,3.6,True,Competitora,https://books.toscrape.com/catalogue/shakespeare's-sonnets_1/index.html,2026-08-24 14:32:14.267008+00:00,47.75,44.37
America's Cradle of Quarterbacks,12.7,4.7,True,Competitora,https://books.toscrape.com/catalogue/america's-cradle-of-quarterbacks_1/index.html,2026-08-24 15:29:44.267008+00:00,16.13,14.99
How Music Works,38.24,4.8,True,Competitorb,https://books.toscrape.com/catalogue/how-music-works_1/index.html,2026-08-24 16:00:51.267008+00:00,48.56,45.12
Digital Minimalism,42.08,4.9,False,Competitorc,https://books.toscrape.com/catalogue/digital-minimalism_1/index.html,2026-08-24 15:11:25.267008+00:00,53.44,49.65
Sharp Objects,17.95,4.7,True,Competitorc,https://books.toscrape.com/catalogue/sharp-objects_1/index.html,2026-08-24 15:39:48.267008+00:00,22.8,21.18
Sharp Objects,18.2,4.7,True,Competitorb,https://books.toscrape.com/catalogue/sharp-objects_1/index.html,2026-08-24 14:53:49.267008+00:00,23.11,21.48
Chase Me,16.9,2.3,True,Competitora,https://books.toscrape.com/catalogue/chase-me_1/index.html,2026-08-24 14:16:00.267008+00:00,21.46,19.94
Foolproof Preserving,28.87,4.5,True,Competitora,https://books.toscrape.com/catalogue/foolproof-preserving_1/index.html,2026-08-24 15:22:01.267008+00:00,36.66,34.07
Mesaerion,41.78,1.1,True,Competitorc,https://books.toscrape.com/catalogue/mesaerion_1/index.html,2026-08-24 14:56:59.267008+00:00,53.06,49.3
Sharp Objects,20.09,4.7,True,Competitora,https://books.toscrape.com/catalogue/sharp-objects_1/index.html,2026-08-24 15:25:01.267008+00:00,25.51,23.71
In Her Wake,43.19,1.8,True,Competitora,https://books.toscrape.com/catalogue/in-her-wake_1/index.html,2026-08-24 16:13:19.267008+00:00,54.85,50.96
Soumission,25.43,2.1,True,Competitora,https://books.toscrape.com/catalogue/soumission_1/index.html,2026-08-24 14:40:06.267008+00:00,32.3,30.01
Aladdin,14.24,2.8,True,Competitorb,https://books.toscrape.com/catalogue/aladdin_1/index.html,2026-08-24 16:00:16.267008+00:00,18.08,16.8
Foolproof Preserving,24.56,4.5,False,Competitorc,https://books.toscrape.com/catalogue/foolproof-preserving_1/index.html,2026-08-24 14:36:05.267008+00:00,31.19,28.98
Rip it Up and Start Again,36.54,4.4,True,Competitorc,https://books.toscrape.com/catalogue/rip-it-up-and-start-again_1/index.html,2026-08-24 14:32:02.267008+00:00,46.41,43.12
The Innovators,45.64,1.4,True,Competitorc,https://books.toscrape.com/catalogue/the-innovators_1/index.html,2026-08-24 14:59:33.267008+00:00,57.96,53.86
Worlds Elsewhere,48.59,2.1,True,Competitora,https://books.toscrape.com/catalogue/worlds-elsewhere_1/index.html,2026-08-24 14:25:04.267008+00:00,61.71,57.34
Creativity Inc,11.16,3.5,True,Competitorb,https://books.toscrape.com/catalogue/creativity-inc_1/index.html,2026-08-24 15:03:29.267008+00:00,14.17,13.17
The Power of Now,17.66,2.5,True,Competitora,https://books.toscrape.com/catalogue/the-power-of-now_1/index.html,2026-08-24 14:21:09.267008+00:00,22.43,20.84
The Black Maria,12.09,2.5,True,Competitorb,https://books.toscrape.com/catalogue/the-black-maria_1/index.html,2026-08-24 14:25:16.267008+00:00,15.35,14.27
Olio,21.68,1.9,True,Competitorb,https://books.toscrape.com/catalogue/olio_1/index.html,2026-08-24 14:54:27.267008+00:00,27.53,25.58
The Dirty Little Secrets,56.61,1.7,True,Competitora,https://books.toscrape.com/catalogue/the-dirty-little-secrets_1/index.html,2026-08-24 14:23:37.267008+00:00,71.89,66.8
Aladdin,12.46,2.8,True,Competitora,https://books.toscrape.com/catalogue/aladdin_1/index.html,2026-08-24 16:12:08.267008+00:00,15.82,14.7
Start with Why,53.48,1.4,True,Competitorc,https://books.toscrape.com/catalogue/start-with-why_1/index.html,2026-08-24 15:26:34.267008+00:00,67.92,63.11
