date,title,our_price,competitor_a_price,competitor_b_price,competitor_c_price,avg_competitor_price,rating,in_stock,month,day_of_week,is_weekend,seasonal_demand,demand_score,sales_volume,revenue,optimal_price,price_gap_pct,season,price_vs_rating
2025-08-26,A Light in the Attic,41.95,37.47,39.18,42.69,39.78,2.5,1,8,1,0,0.92,0.8362,35,1468.25,27.85,0.0546,3,16.78
2025-08-27,A Light in the Attic,40.47,37.5,39.12,42.69,39.77,2.5,1,8,2,0,0.92,0.8914,47,1902.09,27.84,0.0176,3,16.19
2025-08-28,A Light in the Attic,39.24,37.51,39.34,42.79,39.88,2.5,0,8,3,0,0.92,0.9471,48,1883.52,27.91,-0.016,3,15.7
2025-08-29,A Light in the Attic,40.04,37.67,39.33,42.75,39.92,2.5,1,8,4,0,0.92,0.9149,49,1961.96,27.94,0.003,3,16.02
2025-08-30,A Light in the Attic,38.17,37.59,39.26,42.86,39.9,2.5,1,8,5,1,0.92,1.1461,58,2213.86,27.93,-0.0434,3,15.27
2025-08-31,A Light in the Attic,40.2,37.99,39.18,42.75,39.98,2.5,1,8,6,1,0.92,1.0474,54,2170.8,27.98,0.0055,3,16.08
2025-09-01,A Light in the Attic,41.87,37.97,39.01,42.58,39.85,2.5,1,9,0,0,1.1,1.0065,52,2177.24,27.9,0.0507,4,16.75
2025-09-02,A Light in the Attic,42.58,37.75,39.12,42.44,39.77,2.5,1,9,1,0,1.1,0.9727,48,2043.84,27.84,0.0707,4,17.03
2025-09-03,A Light in the Attic,37.94,37.91,39.16,42.58,39.89,2.5,1,9,2,0,1.1,1.2036,61,2314.34,27.92,-0.0489,4,15.18
2025-09-04,A Light in the Attic,41.14,37.64,39.1,42.48,39.74,2.5,0,9,3,0,1.1,1.0335,50,2057.0,27.82,0.0352,4,16.46
2025-09-05,A Light in the Attic,42.2,37.48,39.29,42.12,39.63,2.5,1,9,4,0,1.1,0.9823,49,2067.8,27.74,0.0648,4,16.88
2025-09-06,A Light in the Attic,40.32,37.61,39.45,42.05,39.7,2.5,1,9,5,1,1.1,1.2303,64,2580.48,27.79,0.0156,4,16.13
2025-09-07,A Light in the Attic,39.17,37.37,39.22,41.86,39.48,2.5,1,9,6,1,1.1,1.2832,64,2506.88,27.64,-0.0079,4,15.67
2025-09-08,A Light in the Attic,39.94,37.29,39.25,41.99,39.51,2.5,1,9,0,0,1.1,1.0788,55,2196.7,27.66,0.0109,4,15.98
2025-09-09,A Light in the Attic,40.14,37.22,39.18,41.74,39.38,2.5,1,9,1,0,1.1,1.0627,51,2047.14,27.56,0.0193,4,16.06
2025-09-10,A Light in the Attic,39.77,37.31,39.27,41.87,39.48,2.5,1,9,2,0,1.1,1.0858,53,2107.81,27.64,0.0073,4,15.91
2025-09-11,A Light in the Attic,42.89,37.0,38.98,41.6,39.19,2.5,1,9,3,0,1.1,0.9352,47,2015.83,27.43,0.0944,4,17.16
2025-09-12,A Light in the Attic,41.49,36.93,39.24,41.52,39.23,2.5,1,9,4,0,1.1,0.9944,46,1908.54,27.46,0.0576,4,16.6
2025-09-13,A Light in the Attic,38.44,36.75,39.17,41.7,39.21,2.5,1,9,5,1,1.1,1.3107,66,2537.04,27.44,-0.0196,4,15.38
2025-09-14,A Light in the Attic,41.34,36.64,38.89,41.71,39.08,2.5,1,9,6,1,1.1,1.1433,57,2356.38,27.36,0.0578,4,16.54
2025-09-15,A Light in the Attic,39.57,36.93,38.84,41.5,39.09,2.5,1,9,0,0,1.1,1.0762,54,2136.78,27.36,0.0123,4,15.83
2025-09-16,A Light in the Attic,40.76,37.09,38.91,41.8,39.27,2.5,1,9,1,0,1.1,1.0285,49,1997.24,27.49,0.0379,4,16.3
2025-09-17,A Light in the Attic,37.37,37.02,38.64,41.94,39.2,2.5,1,9,2,0,1.1,1.1987,55,2055.35,27.44,-0.0467,4,14.95
2025-09-18,A Light in the Attic,40.34,37.07,38.8,42.35,39.41,2.5,1,9,3,0,1.1,1.0548,53,2138.02,27.59,0.0236,4,16.14
2025-09-19,A Light in the Attic,40.34,36.68,38.85,42.18,39.24,2.5,0,9,4,0,1.1,1.0465,50,2017.0,27.47,0.028,4,16.14
2025-09-20,A Light in the Attic,40.6,36.88,38.88,42.15,39.3,2.5,1,9,5,1,1.1,1.1932,54,2192.4,27.51,0.0331,4,16.24
2025-09-21,A Light in the Attic,38.09,36.87,39.23,42.18,39.42,2.5,1,9,6,1,1.1,1.3458,65,2475.85,27.6,-0.0337,4,15.24
2025-09-22,A Light in the Attic,42.41,36.69,39.09,42.63,39.47,2.5,1,9,0,0,1.1,0.9664,50,2120.5,27.63,0.0745,4,16.96
2025-09-23,A Light in the Attic,39.08,36.86,39.16,42.59,39.54,2.5,1,9,1,0,1.1,1.1233,54,2110.32,27.68,-0.0116,4,15.63
2025-09-24,A Light in the Attic,42.63,36.77,38.92,42.32,39.34,2.5,1,9,2,0,1.1,0.9519,52,2216.76,27.54,0.0836,4,17.05
2025-09-25,A Light in the Attic,42.04,36.75,38.98,42.6,39.44,2.5,1,9,3,0,1.1,0.9807,47,1975.88,27.61,0.0659,4,16.82
2025-09-26,A Light in the Attic,43.16,36.83,39.28,42.64,39.58,2.5,1,9,4,0,1.1,0.9413,42,1812.72,27.71,0.0904,4,17.26
2025-09-27,A Light in the Attic,41.23,37.15,39.24,42.55,39.65,2.5,1,9,5,1,1.1,1.179,55,2267.65,27.75,0.0398,4,16.49
2025-09-28,A Light in the Attic,38.53,37.27,39.16,42.55,39.66,2.5,1,9,6,1,1.1,1.3327,67,2581.51,27.76,-0.0285,4,15.41
