title,price_gbp,rating,in_stock,competitor,source_url,scraped_at
Scott Pilgrim's Precious,£17.36,3.7,True,CompetitorA,https://books.toscrape.com/catalogue/scott-pilgrim's-precious_1/index.html,2026-08-24T14:19:29.287888+00:00
Atomic Habits,£43.68,2.1,True,CompetitorA,https://books.toscrape.com/catalogue/atomic-habits_1/index.html,2026-08-24T14:58:05.287888+00:00
Tipping the Velvet,£10.74,1.8,True,CompetitorB,https://books.toscrape.com/catalogue/tipping-the-velvet_1/index.html,2026-08-24T15:18:02.287888+00:00
Tipping the Velvet,,1.8,True,CompetitorC,https://books.toscrape.com/catalogue/tipping-the-velvet_1/index.html,2026-08-24T15:22:07.287888+00:00
Good to Great,£40.63,5.0,True,CompetitorB,https://books.toscrape.com/catalogue/good-to-great_1/index.html,2026-08-24T14:37:44.287888+00:00
Zero to One,£38.82,1.9,True,CompetitorA,https://books.toscrape.com/catalogue/zero-to-one_1/index.html,2026-08-24T16:09:02.287888+00:00
It's Only the Himalayas,£9.65,2.1,True,CompetitorC,https://books.toscrape.com/catalogue/it's-only-the-himalayas_1/index.html,2026-08-24T14:29:12.287888+00:00
Worlds Elsewhere,£52.15,2.1,True,CompetitorB,https://books.toscrape.com/catalogue/worlds-elsewhere_1/index.html,2026-08-24T15:52:37.287888+00:00
The Requiem Red,£45.78,3.4,True,CompetitorB,https://books.toscrape.com/catalogue/the-requiem-red_1/index.html,2026-08-24T14:51:26.287888+00:00
Birdsong,£24.25,2.6,True,CompetitorC,https://books.toscrape.com/catalogue/birdsong_1/index.html,2026-08-24T15:13:44.287888+00:00
Black Dust,£57.28,3.6,True,CompetitorC,https://books.toscrape.com/catalogue/black-dust_1/index.html,2026-08-24T15:26:32.287888+00:00
Birdsong,£26.63,2.6,True,CompetitorA,https://books.toscrape.com/catalogue/birdsong_1/index.html,2026-08-24T15:21:38.287888+00:00
Deep Work,£31.45,3.3,True,CompetitorA,https://books.toscrape.com/catalogue/deep-work_1/index.html,2026-08-24T14:58:22.287888+00:00
Worlds Elsewhere,£48.89,2.1,True,CompetitorC,https://books.toscrape.com/catalogue/worlds-elsewhere_1/index.html,2026-08-24T15:19:21.287888+00:00
Stillness is the Key,£16.29,5.0,False,CompetitorA,https://books.toscrape.com/catalogue/stillness-is-the-key_1/index.html,2026-08-24T16:01:42.287888+00:00
The Lean Startup,£26.78,2.6,True,CompetitorC,https://books.toscrape.com/catalogue/the-lean-startup_1/index.html,2026-08-24T15:28:55.287888+00:00
Deep Work,£30.54,3.3,False,CompetitorC,https://books.toscrape.com/catalogue/deep-work_1/index.html,2026-08-24T16:03:25.287888+00:00
The Boys in the Boat,£25.24,1.7,False,CompetitorA,https://books.toscrape.com/catalogue/the-boys-in-the-boat_1/index.html,2026-08-24T15:20:05.287888+00:00
Atomic Habits,£41.65,2.1,True,CompetitorB,https://books.toscrape.com/catalogue/atomic-habits_1/index.html,2026-08-24T15:12:33.287888+00:00
Shoe Dog,£37.62,1.2,True,CompetitorC,https://books.toscrape.com/catalogue/shoe-dog_1/index.html,2026-08-24T15:41:52.287888+00:00
Our Band Could Be Your Life,£37.04,4.1,True,CompetitorC,https://books.toscrape.com/catalogue/our-band-could-be-your-life_1/index.html,2026-08-24T15:56:02.287888+00:00
Zero to One,£37.97,1.9,True,CompetitorB,https://books.toscrape.com/catalogue/zero-to-one_1/index.html,2026-08-24T15:21:30.287888+00:00
Zero to One,£34.78,1.9,True,CompetitorC,https://books.toscrape.com/catalogue/zero-to-one_1/index.html,2026-08-24T14:59:12.287888+00:00
The Coming Woman,£12.83,3.9,True,CompetitorA,https://books.toscrape.com/catalogue/the-coming-woman_1/index.html,2026-08-24T16:06:36.287888+00:00
